frame,time_s,terrain_mean,splash_pixels,stem_color_pixels,upper_stem_pixels,stem_top_y
421,7.016667,16.594,232,474,28,450.0
422,7.033333,16.599,234,461,28,450.0
423,7.05,16.6,204,437,20,450.0
424,7.066667,16.61,199,475,22,449.0
425,7.083333,16.614,196,469,38,448.0
426,7.1,16.617,210,421,46,444.0
427,7.116667,16.607,190,407,40,440.0
428,7.133333,16.6,233,388,48,436.0
429,7.15,16.596,237,445,54,432.0
430,7.166667,16.579,223,489,72,427.0
431,7.183333,16.572,243,503,72,422.0
432,7.2,16.556,230,595,74,416.0
433,7.216667,16.549,246,649,126,412.0
434,7.233333,16.544,263,651,97,408.0
435,7.25,16.535,244,663,105,402.0
436,7.266667,16.53,260,698,113,398.0
437,7.283333,16.521,251,726,110,392.0
438,7.3,16.523,261,752,118,388.0
439,7.316667,16.524,239,817,121,385.0
440,7.333333,16.529,239,864,133,381.0
441,7.35,16.53,258,856,127,378.0
442,7.366667,16.53,267,917,99,374.0
443,7.383333,16.538,249,1048,175,370.0
444,7.4,16.549,278,1066,151,368.0
445,7.416667,16.554,261,1023,160,366.0
446,7.433333,16.549,241,996,113,362.0
447,7.45,16.566,296,1008,127,360.0
448,7.466667,16.578,312,1008,124,358.0
449,7.483333,16.583,333,1016,136,356.0
450,7.5,16.578,316,994,145,356.0
451,7.516667,16.588,365,1038,147,355.0
452,7.533333,16.594,385,1018,150,356.0
453,7.55,16.595,421,942,142,356.0
454,7.566667,16.594,401,951,142,356.0
455,7.583333,16.596,390,979,132,358.0
456,7.6,16.601,358,1034,220,358.0
457,7.616667,16.593,345,1040,201,358.0
458,7.633333,16.601,303,963,179,360.0
459,7.65,16.599,324,918,165,360.0
460,7.666667,16.602,343,912,170,361.0
461,7.683333,16.593,290,955,159,362.0
462,7.7,16.586,335,940,162,362.0
463,7.716667,16.579,331,921,155,362.0
464,7.733333,16.566,329,931,163,364.0
465,7.75,16.563,337,1028,227,364.0
466,7.766667,16.553,291,974,159,364.0
467,7.783333,16.557,306,1003,155,364.0
468,7.8,16.543,304,1095,155,364.0
469,7.816667,16.54,292,1106,154,364.0
470,7.833333,16.54,273,1075,156,364.0
471,7.85,16.533,307,1056,157,364.0
472,7.866667,16.528,279,1104,157,364.0
473,7.883333,16.526,326,1109,178,364.0
474,7.9,16.536,332,1119,201,364.0
475,7.916667,16.537,343,1141,193,364.0
476,7.933333,16.541,338,1017,146,363.0
477,7.95,16.551,337,1062,171,362.0
478,7.966667,16.555,340,1034,164,362.0
479,7.983333,16.558,322,1041,155,362.0
480,8.0,16.587,333,961,150,362.0
481,8.016667,16.585,346,958,165,362.0
482,8.033333,16.571,348,901,151,362.0
483,8.05,16.574,338,1018,199,362.0
484,8.066667,16.57,321,980,190,362.0
485,8.083333,16.577,343,996,188,362.0
486,8.1,16.575,350,901,180,362.0
